Rk,Team,Rec,FBS,STR,KRE,Rk,KE,Rk,PRE,Rk,PE,Rk,FGE,Rk,OFG,Rk
121,UTEP,7-6,6-6,-.74,-.10,129,-.01,31,-.26,111,-.05,123,.12,68,-.27,89
122,Kent State,7-7,6-7,-.79,.09,40,-.30,128,-.17,72,.00,115,.05,82,-.22,77
123,UNLV,2-10,2-9,-.82,.02,82,-.25,125,-.30,124,.04,104,.37,36,.05,30
124,Northwestern,3-9,2-9,-.87,-.03,109,-.03,53,-.11,50,.05,99,-1.12,130,-.14,56
125,Mississippi State,7-6,6-6,-.94,.13,28,-.06,72,-.27,113,-.19,129,-.56,122,-.48,117
126,Rice,4-8,3-8,-.95,-.02,105,-.20,121,.00,14,.02,108,-.83,128,.27,9
127,West Virginia,6-7,5-7,-.95,.04,70,-.33,129,-.30,123,.07,92,.27,45,-.19,67
128,Western Michigan,8-5,7-5,-1.27,.10,36,-.19,118,-.17,73,-.32,130,-.39,118,.05,29
129,Nebraska,3-9,2-9,-1.46,-.03,111,-.09,95,-.40,128,-.11,125,-.60,125,-.06,44
130,Temple,3-9,2-9,-1.46,-.02,103,-.20,120,-.52,130,.06,97,-.31,113,-.49,118

